County Level Vaccination Data for Texas
Date generated: Sun Apr 11 2021 18:50:37 GMT-0700 (Pacific Daylight Time)
Dickens,N/A,N/A,N/A,N/A,N/A,N/A
Dimmit,N/A,N/A,N/A,N/A,N/A,N/A
Donley,N/A,N/A,N/A,N/A,N/A,N/A
Duval,N/A,N/A,N/A,N/A,N/A,N/A
Eastland,N/A,N/A,N/A,N/A,N/A,N/A
Ector,N/A,N/A,N/A,N/A,N/A,N/A
Edwards,N/A,N/A,N/A,N/A,N/A,N/A
El Paso,N/A,N/A,N/A,N/A,N/A,N/A
Ellis,N/A,N/A,N/A,N/A,N/A,N/A
Erath,N/A,N/A,N/A,N/A,N/A,N/A
Falls,N/A,N/A,N/A,N/A,N/A,N/A
Fannin,N/A,N/A,N/A,N/A,N/A,N/A
Fayette,N/A,N/A,N/A,N/A,N/A,N/A
Fisher,N/A,N/A,N/A,N/A,N/A,N/A
Floyd,N/A,N/A,N/A,N/A,N/A,N/A
Foard,N/A,N/A,N/A,N/A,N/A,N/A
Fort Bend,N/A,N/A,N/A,N/A,N/A,N/A
Franklin,N/A,N/A,N/A,N/A,N/A,N/A
Freestone,N/A,N/A,N/A,N/A,N/A,N/A
Frio,N/A,N/A,N/A,N/A,N/A,N/A
Gaines,N/A,N/A,N/A,N/A,N/A,N/A
Galveston,N/A,N/A,N/A,N/A,N/A,N/A
Garza,N/A,N/A,N/A,N/A,N/A,N/A
Gillespie,N/A,N/A,N/A,N/A,N/A,N/A
Glasscock,N/A,N/A,N/A,N/A,N/A,N/A
Goliad,N/A,N/A,N/A,N/A,N/A,N/A
Gonzales,N/A,N/A,N/A,N/A,N/A,N/A
Gray,N/A,N/A,N/A,N/A,N/A,N/A
Grayson,N/A,N/A,N/A,N/A,N/A,N/A
Gregg,N/A,N/A,N/A,N/A,N/A,N/A
Grimes,N/A,N/A,N/A,N/A,N/A,N/A
Guadalupe,N/A,N/A,N/A,N/A,N/A,N/A
Hale,N/A,N/A,N/A,N/A,N/A,N/A
Hall,N/A,N/A,N/A,N/A,N/A,N/A
Hamilton,N/A,N/A,N/A,N/A,N/A,N/A
Hansford,N/A,N/A,N/A,N/A,N/A,N/A
Hardeman,N/A,N/A,N/A,N/A,N/A,N/A
Hardin,N/A,N/A,N/A,N/A,N/A,N/A
Harris,N/A,N/A,N/A,N/A,N/A,N/A
Harrison,N/A,N/A,N/A,N/A,N/A,N/A
Hartley,N/A,N/A,N/A,N/A,N/A,N/A
Haskell,N/A,N/A,N/A,N/A,N/A,N/A
Hays,N/A,N/A,N/A,N/A,N/A,N/A
Hemphill,N/A,N/A,N/A,N/A,N/A,N/A
Henderson,N/A,N/A,N/A,N/A,N/A,N/A
Hidalgo,N/A,N/A,N/A,N/A,N/A,N/A
Hill,N/A,N/A,N/A,N/A,N/A,N/A
Hockley,N/A,N/A,N/A,N/A,N/A,N/A
Hood,N/A,N/A,N/A,N/A,N/A,N/A
Hopkins,N/A,N/A,N/A,N/A,N/A,N/A
Houston,N/A,N/A,N/A,N/A,N/A,N/A
Howard,N/A,N/A,N/A,N/A,N/A,N/A
Hudspeth,N/A,N/A,N/A,N/A,N/A,N/A
Hunt,N/A,N/A,N/A,N/A,N/A,N/A
Hutchinson,N/A,N/A,N/A,N/A,N/A,N/A
Irion,N/A,N/A,N/A,N/A,N/A,N/A
Jack,N/A,N/A,N/A,N/A,N/A,N/A
Jackson,N/A,N/A,N/A,N/A,N/A,N/A
Jasper,N/A,N/A,N/A,N/A,N/A,N/A
Jeff Davis,N/A,N/A,N/A,N/A,N/A,N/A
Jefferson,N/A,N/A,N/A,N/A,N/A,N/A
Jim Hogg,N/A,N/A,N/A,N/A,N/A,N/A
Jim Wells,N/A,N/A,N/A,N/A,N/A,N/A
Johnson,N/A,N/A,N/A,N/A,N/A,N/A
Jones,N/A,N/A,N/A,N/A,N/A,N/A
Karnes,N/A,N/A,N/A,N/A,N/A,N/A
Kaufman,N/A,N/A,N/A,N/A,N/A,N/A
Kendall,N/A,N/A,N/A,N/A,N/A,N/A
Kenedy,N/A,N/A,N/A,N/A,N/A,N/A
Kent,N/A,N/A,N/A,N/A,N/A,N/A
Kerr,N/A,N/A,N/A,N/A,N/A,N/A
Kimble,N/A,N/A,N/A,N/A,N/A,N/A
King,N/A,N/A,N/A,N/A,N/A,N/A
Kinney,N/A,N/A,N/A,N/A,N/A,N/A
Kleberg,N/A,N/A,N/A,N/A,N/A,N/A
Knox,N/A,N/A,N/A,N/A,N/A,N/A
La Salle,N/A,N/A,N/A,N/A,N/A,N/A
Lamar,N/A,N/A,N/A,N/A,N/A,N/A
Lamb,N/A,N/A,N/A,N/A,N/A,N/A
Lampasas,N/A,N/A,N/A,N/A,N/A,N/A
Lavaca,N/A,N/A,N/A,N/A,N/A,N/A
Lee,N/A,N/A,N/A,N/A,N/A,N/A
Leon,N/A,N/A,N/A,N/A,N/A,N/A
Liberty,N/A,N/A,N/A,N/A,N/A,N/A
Limestone,N/A,N/A,N/A,N/A,N/A,N/A
Lipscomb,N/A,N/A,N/A,N/A,N/A,N/A
Live Oak,N/A,N/A,N/A,N/A,N/A,N/A
Llano,N/A,N/A,N/A,N/A,N/A,N/A
Loving,N/A,N/A,N/A,N/A,N/A,N/A
Lubbock,N/A,N/A,N/A,N/A,N/A,N/A
Lynn,N/A,N/A,N/A,N/A,N/A,N/A
Madison,N/A,N/A,N/A,N/A,N/A,N/A
Marion,N/A,N/A,N/A,N/A,N/A,N/A
Martin,N/A,N/A,N/A,N/A,N/A,N/A
Mason,N/A,N/A,N/A,N/A,N/A,N/A
Matagorda,N/A,N/A,N/A,N/A,N/A,N/A
Maverick,N/A,N/A,N/A,N/A,N/A,N/A
McCulloch,N/A,N/A,N/A,N/A,N/A,N/A
McLennan,N/A,N/A,N/A,N/A,N/A,N/A
McMullen,N/A,N/A,N/A,N/A,N/A,N/A
Medina,N/A,N/A,N/A,N/A,N/A,N/A
Menard,N/A,N/A,N/A,N/A,N/A,N/A
Midland,N/A,N/A,N/A,N/A,N/A,N/A
Milam,N/A,N/A,N/A,N/A,N/A,N/A
Mills,N/A,N/A,N/A,N/A,N/A,N/A
Mitchell,N/A,N/A,N/A,N/A,N/A,N/A
Montague,N/A,N/A,N/A,N/A,N/A,N/A
Montgomery,N/A,N/A,N/A,N/A,N/A,N/A
Moore,N/A,N/A,N/A,N/A,N/A,N/A
Morris,N/A,N/A,N/A,N/A,N/A,N/A
Motley,N/A,N/A,N/A,N/A,N/A,N/A
Nacogdoches,N/A,N/A,N/A,N/A,N/A,N/A
Navarro,N/A,N/A,N/A,N/A,N/A,N/A
Newton,N/A,N/A,N/A,N/A,N/A,N/A
Nolan,N/A,N/A,N/A,N/A,N/A,N/A
Nueces,N/A,N/A,N/A,N/A,N/A,N/A
Ochiltree,N/A,N/A,N/A,N/A,N/A,N/A
Oldham,N/A,N/A,N/A,N/A,N/A,N/A
Orange,N/A,N/A,N/A,N/A,N/A,N/A
Palo Pinto,N/A,N/A,N/A,N/A,N/A,N/A
Panola,N/A,N/A,N/A,N/A,N/A,N/A
Parker,N/A,N/A,N/A,N/A,N/A,N/A
Parmer,N/A,N/A,N/A,N/A,N/A,N/A
Pecos,N/A,N/A,N/A,N/A,N/A,N/A
Polk,N/A,N/A,N/A,N/A,N/A,N/A
Potter,N/A,N/A,N/A,N/A,N/A,N/A
Presidio,N/A,N/A,N/A,N/A,N/A,N/A
Rains,N/A,N/A,N/A,N/A,N/A,N/A
Randall,N/A,N/A,N/A,N/A,N/A,N/A
Reagan,N/A,N/A,N/A,N/A,N/A,N/A
Real,N/A,N/A,N/A,N/A,N/A,N/A
Red River,N/A,N/A,N/A,N/A,N/A,N/A
Reeves,N/A,N/A,N/A,N/A,N/A,N/A
Refugio,N/A,N/A,N/A,N/A,N/A,N/A
Roberts,N/A,N/A,N/A,N/A,N/A,N/A
Robertson,N/A,N/A,N/A,N/A,N/A,N/A
Rockwall,N/A,N/A,N/A,N/A,N/A,N/A
Runnels,N/A,N/A,N/A,N/A,N/A,N/A
Rusk,N/A,N/A,N/A,N/A,N/A,N/A
Sabine,N/A,N/A,N/A,N/A,N/A,N/A
San Augustine,N/A,N/A,N/A,N/A,N/A,N/A
San Jacinto,N/A,N/A,N/A,N/A,N/A,N/A
San Patricio,N/A,N/A,N/A,N/A,N/A,N/A
San Saba,N/A,N/A,N/A,N/A,N/A,N/A
Schleicher,N/A,N/A,N/A,N/A,N/A,N/A
Scurry,N/A,N/A,N/A,N/A,N/A,N/A
Shackelford,N/A,N/A,N/A,N/A,N/A,N/A
Shelby,N/A,N/A,N/A,N/A,N/A,N/A
Sherman,N/A,N/A,N/A,N/A,N/A,N/A
Smith,N/A,N/A,N/A,N/A,N/A,N/A
Somervell,N/A,N/A,N/A,N/A,N/A,N/A
Starr,N/A,N/A,N/A,N/A,N/A,N/A
Stephens,N/A,N/A,N/A,N/A,N/A,N/A
Sterling,N/A,N/A,N/A,N/A,N/A,N/A
Stonewall,N/A,N/A,N/A,N/A,N/A,N/A
Sutton,N/A,N/A,N/A,N/A,N/A,N/A
Swisher,N/A,N/A,N/A,N/A,N/A,N/A
Tarrant,N/A,N/A,N/A,N/A,N/A,N/A
Taylor,N/A,N/A,N/A,N/A,N/A,N/A
Terrell,N/A,N/A,N/A,N/A,N/A,N/A
Terry,N/A,N/A,N/A,N/A,N/A,N/A
Throckmorton,N/A,N/A,N/A,N/A,N/A,N/A
Titus,N/A,N/A,N/A,N/A,N/A,N/A
Tom Green,N/A,N/A,N/A,N/A,N/A,N/A
Travis,N/A,N/A,N/A,N/A,N/A,N/A
Trinity,N/A,N/A,N/A,N/A,N/A,N/A
Tyler,N/A,N/A,N/A,N/A,N/A,N/A
Upshur,N/A,N/A,N/A,N/A,N/A,N/A
Upton,N/A,N/A,N/A,N/A,N/A,N/A
Uvalde,N/A,N/A,N/A,N/A,N/A,N/A
Val Verde,N/A,N/A,N/A,N/A,N/A,N/A
Van Zandt,N/A,N/A,N/A,N/A,N/A,N/A
Victoria,N/A,N/A,N/A,N/A,N/A,N/A
Walker,N/A,N/A,N/A,N/A,N/A,N/A
Waller,N/A,N/A,N/A,N/A,N/A,N/A
Ward,N/A,N/A,N/A,N/A,N/A,N/A
Washington,N/A,N/A,N/A,N/A,N/A,N/A
Webb,N/A,N/A,N/A,N/A,N/A,N/A
Wharton,N/A,N/A,N/A,N/A,N/A,N/A
Wheeler,N/A,N/A,N/A,N/A,N/A,N/A
Wichita,N/A,N/A,N/A,N/A,N/A,N/A
Wilbarger,N/A,N/A,N/A,N/A,N/A,N/A
Willacy,N/A,N/A,N/A,N/A,N/A,N/A
Williamson,N/A,N/A,N/A,N/A,N/A,N/A
Wilson,N/A,N/A,N/A,N/A,N/A,N/A
Winkler,N/A,N/A,N/A,N/A,N/A,N/A
Wise,N/A,N/A,N/A,N/A,N/A,N/A
Wood,N/A,N/A,N/A,N/A,N/A,N/A
Yoakum,N/A,N/A,N/A,N/A,N/A,N/A
Young,N/A,N/A,N/A,N/A,N/A,N/A
Zapata,N/A,N/A,N/A,N/A,N/A,N/A
Zavala,N/A,N/A,N/A,N/A,N/A,N/A
